,filename,location,long,lat,Issue,Duration,TimeStamp
0,bangalore_report_0.txt,"Kalyan Nagar,Hennur ,Bangalore ",77.643294,13.023992300000002,"plastic is burned, breeding ground for mosquitoes",Not found,"May 27, 2020, 06.00 AM IST"
1,bangalore_report_1.txt,"kammasandra road,Daadys garden,bangalore ",77.68833280000003,12.827974800000002,"dumping ground for Garbage and sewage water, No Garbage collection",Not found,"May 27, 2020, 06.00 AM IST"
2,bangalore_report_2.txt,"1st Main,  CM Layout, ITI Layout,Hosapalya,  Bommanahalli Post ,Bangalore ",77.63927509999998,12.9002042,"waste on this open, health concerns of the residents",Not found,"Apr 17, 2020, 06.00 AM IST"
3,bangalore_report_3.txt,"Parvathipuram,VV Puram,Babu Building,Ashaktha Poshaka Sabha Road,Bangalore ",77.57615129999998,12.9537477,"drainage water and garbage is blocked, spreading communicable diseases, full address is #, breeding ground for malaria",last 6months,"Apr 4, 2020, 06.16 AM IST"
4,bangalore_report_4.txt,"4th main, Rifco shanthinikethan layout,medahalli,Bangalore ",77.71184000000002,13.0249095,"garbage dump, foul smell",Not found,"Mar 25, 2020, 06.46 PM IST"
5,bangalore_report_5.txt,"22 Cross 3 Main 6 Block,Jayanagar,Bangalore ",77.5796036,12.9330623,"Garbage is yet to be cleaned, health threat to the citizens",Not found,"Mar 25, 2020, 06.40 PM IST"
6,bangalore_report_6.txt,"Rachenahalli lake,Dasarahalli main road,Bangalore ",77.61015959999997,13.0555489,"flooded with sewage water, unbearable smell that lingers",Not found,"Mar 25, 2020, 06.25 PM IST"
7,bangalore_report_7.txt,"Venkateshpuram,Venkateshpuram Main Road,Bangalore ",77.6199608,13.0143362,"drain cleaned, dumped the garbage from the sewage on the side of the road",three days,"Mar 25, 2020, 06.23 PM IST"
8,bangalore_report_8.txt,"HSR 3rd sector,17th main, 26 cross,Bangalore ",77.64313469999998,12.9086698,"waste and garbage by residents, vendors, serious health hazard for residents",Not found,"Mar 25, 2020, 06.22 PM IST"
9,bangalore_report_9.txt,"munireddy palya,2nd cross,rk block,bangalore ",77.6105673,13.0289622,Garbage being dumped,Not found,"Mar 25, 2020, 06.21 PM IST"
10,bangalore_report_10.txt,"1st Block, HRBR Layout,8th Main Road, Kalyananagara.,Bangalore East. ",77.6448533,13.0196061,falling of dry tree branches,Not found,"Mar 25, 2020, 06.17 PM IST"
